 母公司	 最終母公司	 NPI/PI	 DRSK'		 產品代碼	 發行人	 證券名稱	 幣別	" 參考賣出價
"		" 參考買入價
"	 前手息	 1日價格變動	 利差	 指標	 五日價格變動			 參考買回殖利率	 參考到期殖利率	" 距買
回年"	" 距到
期年"	 穆迪	 穆迪評價日	 標普	 標普評價日	 惠譽	 惠譽評價日	 票息	 配息頻率	 下一配息日	" 票息
Type"	" 浮動
SPREAD"	" 發行日
Issue Date"	 下一買回日	 到期日	" Bullet/
Callable"	 償債順位	 最小單位	 涉險國家	 行業	 產業	 PERPETUAL	" COCO
SECURITY"	" BASEL
III"	" COCO
ACTION"	" COCO
TRIGGER"	" TRIGGER
LEVEL"	" TRIGGER
TYPE"	 WRITE_DOWN_TYPE	" 美國
所得"	 國家	" OBU之
PI /NPI"	 上季風險	 風險等級	 風險變動	" OBU之
PI /NPI"	 風險等級	 outstanding (MM)	 償債順位
	Hewlett Packard Enterprise Co	NPI	 	 [NEW-LINE]	 US42824CAX74	 慧與	HPE 6.2 10/15/35	USD	104.7175674		110.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.155 	109 	T 4 02/15/34	(0.16)			4.99 	5.02 	11.1 	11.6 	Baa2	2016/9/8	BBB	2015/10/1	BBB+	2017/3/10	6.2	2	2024/4/15	FIXED		2016/11/23	2035/4/15	2035/10/15	C	Sr Unsecured	2000	US	Computers	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  748 	 優先無擔保
				 [NEW-LINE]	 US83368TBD90	 法國興業銀行股份有限公司	SOCGEN 2.889 06/09/32	USD	80.701		85.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.217 						5.28 	5.02 	7.2 	8.2 	Baa2	2022/7/12	BBB	2021/6/3	A-	2021/6/3	2.889	2	2024/6/9	VARIABLE	130	2021/6/2	2031/6/9	2032/6/9	C	Sr Non Preferred	200000	FR	Banks	Financial	N									FR	NPI	穩健型	保守型	Y	NPI	積極型	  1,250 	 主順位非優先受償無擔保
				 [NEW-LINE]	 US83368TBD90	 法國興業銀行股份有限公司	SOCGEN 2.889 06/09/32	USD	80.701		85.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.217 						5.28 	5.02 	7.2 	8.2 	Baa2	2022/7/12	BBB	2021/6/3	A-	2021/6/3	2.889	2	2024/6/9	VARIABLE	130	2021/6/2	2031/6/9	2032/6/9	C	Sr Non Preferred	200000	FR	Banks	Financial	N									FR	NPI	穩健型	保守型	Y	0	積極型	  1,250 	 主順位非優先受償無擔保
				 [NEW-LINE]	 US172967PA33	 花旗集團	C 6.27 11/17/33	USD	104.3827209		109.5 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.328 						4.91 	5.01 	8.7 	9.7 	A3	2022/11/14	BBB+	2022/11/14	A	2022/11/16	6.27	2	2024/5/17	VARIABLE	233.8	2022/11/9	2032/11/17	2033/11/17	C	Sr Unsecured	1000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  2,750 	 優先無擔保
	Commonwealth Bank of Australia	PI	 	 [NEW-LINE]	 USQ2704MAH18	 澳洲聯邦銀行	CBAAU 3.784 03/14/32	USD	86.86649323		92.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.263 	130 	T 4 02/15/34	(0.70)				5.01 		8.0 	Baa1 *+	2024/3/6	BBB+	2022/3/9	A-	2022/3/9	3.784	2	2024/9/14	FIXED		2022/3/3		2032/3/14	B	Subordinated	200000	AU	Banks	Financial	N		Tier 2				Discretionary			AU	NPI	穩健型	保守型	Y	PI	穩健型	  1,250 	 次順位
	AT&T Inc	NPI	 	 [NEW-LINE]	 US00206RDR03	 AT&T公司	T 5 1/4 03/01/37	USD	97.06745911		102.3 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.219 	109 	T 4 02/15/34	(0.57)			5.00 	5.01 	12.5 	12.9 	Baa2	2018/6/15	BBB	2018/6/15	BBB+	2021/3/12	5.25	2	2024/9/1	FIXED		2017/1/31	2036/9/1	2037/3/1	C	Sr Unsecured	2000	US	Telecommunications	Communications	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  1,055 	 優先無擔保
Emirate of Abu Dhabi United Ar	Emirate of Abu Dhabi United Ar	NPI	 	 [NEW-LINE]	 XS2125308242	 阿布達比政府國際債券	ADGB 3 7/8 04/16/50	USD	78.4 		83.7 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.099 	84 	T 4 3/4 11/15/53	(1.75)				5.00 		26.1 	Aa2u	2020/6/1	AA	2020/4/13	AA	2020/4/14	3.875	2	2024/4/16	FIXED		2020/4/8		2050/4/16	B	Sr Unsecured	200000	AE	Sovereign	Government	N									UA	NPI	穩健型	保守型	Y	NPI	穩健型	  4,000 	 優先無擔保
				 [NEW-LINE]	 USP3143NBK92	 智利國家銅業公司	CDEL 3 3/4 01/15/31	USD	87.6 		92.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.083 	135 	T 4 02/15/34	(0.50)			5.04 	4.99 	6.6 	6.8 	Baa1	2023/10/4	BBB+	2023/12/20	BBB+	2023/11/22	3.75	2	2024/7/15	FIXED		2020/4/29	2030/10/15	2031/1/15	C	Sr Unsecured	200000	CL	Mining	Basic Materials	N									CL	NPI	穩健型	保守型	Y	NPI	#N/A	  800 	 優先無擔保
	AT&T Inc	NPI	 	 [NEW-LINE]	 US00206RKD34	 AT&T公司	T 3.1 02/01/43	USD	71.92060852		77.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.026 	79 	T 4 1/2 02/15/44	(1.59)			5.02 	4.99 	18.4 	18.9 	Baa2	2020/7/27	BBB	2020/7/27	BBB+	2021/3/12	3.1	2	2024/8/1	FIXED		2020/7/27	2042/8/1	2043/2/1	C	Sr Unsecured	2000	US	Telecommunications	Communications	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  642 	 優先無擔保
				 [NEW-LINE]	 US617482V925	 摩根士丹利	MS 6 3/8 07/24/42	USD	110.846		116.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.123 							4.98 		18.3 	A1	2021/1/27	A-	2022/5/17	A+	2022/11/4	6.375	2	2024/7/24	FIXED		2012/7/19		2042/7/24	B	Sr Unsecured	1000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  2,000 	 優先無擔保
				 [NEW-LINE]	 US95000U3D31	 富國銀行	WFC 5.389 04/24/34	USD	98.14711761		103.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.274 						4.95 	4.98 	9.1 	10.1 	A1	2023/4/19	BBB+	2023/4/18	A+	2023/4/24	5.389	2	2024/4/24	VARIABLE	202	2023/4/17	2033/4/24	2034/4/24	C	Sr Unsecured	1000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	0	積極型	  3,750 	 優先無擔保
				 [NEW-LINE]	 US747525BR34	 高通公司	QCOM 4 1/2 05/20/52	USD	87.5695343		92.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.170 	79 	T 4 3/4 11/15/53	(1.01)			4.98 	4.98 	27.7 	28.2 	A2	2022/5/5	A	2022/5/5		#VALUE!	4.5	2	2024/5/20	FIXED		2022/5/5	2051/11/20	2052/5/20	C	Sr Unsecured	2000	US	Semiconductors	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  1,000 	 優先無擔保
BP PLC	BP PLC	NPI	 	 [NEW-LINE]	 US10373QBG47	 BP資本市場美國公司	BPLN 3 02/24/50	USD	66.3 		71.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.198 	84 	T 4 3/4 11/15/53	(0.55)			5.00 	4.97 	25.4 	25.9 	A2	2021/3/23	A-	2020/2/20	A+	2023/11/29	3	2	2024/8/24	FIXED		2020/2/19	2049/8/24	2050/2/24	C	Sr Unsecured	1000	US	Oil&Gas	Energy	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  2,000 	 優先無擔保
				 [NEW-LINE]	 US55608KBG94	 麥格理集團有限公司	MQGAU 5.491 11/09/33	USD	98.641		104.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.247 						4.91 	4.96 	8.6 	9.6 	A1	2024/3/6	BBB+	2022/8/8	A	2022/10/10	5.491	2	2024/5/9	VARIABLE	286.5	2022/8/2	2032/11/9	2033/11/9	C	Sr Unsecured	2000	AU	Banks	Financial	N									AU	NPI	穩健型	保守型	Y	NPI	穩健型	  850 	 優先無擔保
				 [NEW-LINE]	 US458140AK64	 英特爾	INTC 4.8 10/01/41	USD	92.92977905		98.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.274 	72 	T 4 1/2 02/15/44	(0.94)				4.95 		17.5 	A3	2024/2/8	A-	2024/2/9	A-	2023/2/2	4.8	2	2024/4/1	FIXED		2011/9/14		2041/10/1	B	Sr Unsecured	2000	US	Semiconductors	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  802 	 優先無擔保
				 [NEW-LINE]	 USH42097DL81	 瑞銀集團公司	UBS 4.988 08/05/33	USD	94.867		100.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.104 						4.95 	4.95 	8.4 	9.4 	A3	2023/11/15	A-	2022/8/1	A	2023/6/12	4.988	2	2024/8/5	VARIABLE	240	2022/8/1	2032/8/5	2033/8/5	C	Sr Unsecured	200000	CH	Banks	Financial	N									SZ	NPI	穩健型	保守型	Y	0	積極型	  1,500 	 優先無擔保
				 [NEW-LINE]	 USH42097DL81	 瑞銀集團公司	UBS 4.988 08/05/33	USD	94.867		100.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.104 						4.95 	4.95 	8.4 	9.4 	A3	2023/11/15	A-	2022/8/1	A	2023/6/12	4.988	2	2024/8/5	VARIABLE	240	2022/8/1	2032/8/5	2033/8/5	C	Sr Unsecured	200000	CH	Banks	Financial	N									SZ	NPI	穩健型	保守型	Y	NPI	積極型	  1,500 	 優先無擔保
BT Group Investments Ltd	BT Group PLC	NPI	 	 [NEW-LINE]	 US111021AE12	 英國電信公開有限公司	BRITEL 9 5/8 12/15/30	USD	121.3093796		126.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.279 	120 	T 4 1/4 02/28/29	(0.66)				4.95 		6.7 	Baa2	2018/3/23	BBB	2018/6/12	BBB	2018/6/13	9.625	2	2024/6/15	FIXED		2000/12/5		2030/12/15	B	Sr Unsecured	1000	GB	Telecommunications	Communications	N									EN	NPI	穩健型	保守型	Y	NPI	穩健型	  2,670 	 優先無擔保
State of Qatar	State of Qatar	NPI	 	 [NEW-LINE]	 XS2155352748	 卡達政府國際債券	QATAR 4.4 04/16/50	USD	86.7 		92.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.052 	77 	T 4 3/4 11/15/53	(1.36)				4.95 		26.1 	Aa2	2024/1/25	AA	2022/11/4	AA-	2020/4/9	4.4	2	2024/4/16	FIXED		2020/4/7		2050/4/16	B	Sr Unsecured	200000	QA	Sovereign	Government	N									QA	NPI	穩健型	保守型	Y	NPI	穩健型	  5,000 	 優先無擔保
				 [NEW-LINE]	 US404280DH94	 匯豐控股有限公司	HSBC 5.402 08/11/33	USD	98.24671173		103.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.296 						4.90 	4.95 	8.4 	9.4 	A3	2022/8/8	A-	2022/8/8	A+	2022/8/8	5.402	2	2024/8/11	VARIABLE	287	2022/8/4	2032/8/11	2033/8/11	C	Sr Unsecured	200000	GB	Banks	Financial	N									EN	NPI	穩健型	保守型	Y	0	積極型	  2,500 	 優先無擔保
				 [NEW-LINE]	 US06051GEN51	 美國銀行	BAC 5 7/8 02/07/42	USD	105.315		111.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.279 							4.94 		17.9 	A1	2023/5/3	A-	2017/11/22	AA-	2021/6/7	5.875	2	2024/8/7	FIXED		2012/2/2		2042/2/7	B	Sr Unsecured	2000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  1,500 	 優先無擔保
Stichting Administratiekantoor	Stichting Administratiekantoor	PI	 	 [NEW-LINE]	 XS2415308761	 荷蘭銀行公眾有限公司	ABNANV 3.324 03/13/37	USD	78.958		84.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.091 	217 	T 4 02/15/34	(0.37)			5.82 	4.94 	7.7 	13.0 	Baa2	2021/12/9	BBB-	2021/12/13	BBB+	2021/12/8	3.324	2	2024/9/13	VARIABLE	190	2021/12/6	2031/12/13	2037/3/13	C	Subordinated	200000	NL	Banks	Financial	N		Tier 2							NE	NPI	穩健型	保守型	Y	PI	積極型	  1,000 	 次順位
	Verizon Communications Inc	NPI	 	 [NEW-LINE]	 US92343VBE39	 威瑞森電信公司	VZ 4 3/4 11/01/41	USD	92.546		97.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.257 	71 	T 4 1/2 02/15/44	(1.09)				4.94 		17.6 	Baa1	2013/9/2	BBB+	2013/9/2	A-	2013/9/3	4.75	2	2024/5/1	FIXED		2011/10/27		2041/11/1	B	Sr Unsecured	2000	US	Telecommunications	Communications	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  488 	 優先無擔保
Emirate of Abu Dhabi United Ar	Emirate of Abu Dhabi United Ar	NPI	 	 [NEW-LINE]	 XS2057866191	 阿布達比政府國際債券	ADGB 3 1/8 09/30/49	USD	68.7 		74.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.033 	79 	T 4 3/4 11/15/53	(1.71)				4.93 		25.5 	Aa2u	2019/10/1	AA	2019/9/25	AA	2019/9/25	3.125	2	2024/3/30	FIXED		2019/9/23		2049/9/30	B	Sr Unsecured	200000	AE	Sovereign	Government	N									UA	NPI	穩健型	保守型	Y	NPI	穩健型	  4,000 	 優先無擔保
				 [NEW-LINE]	 US37045VAZ31	 通用汽車公司	GM 5.6 10/15/32	USD	99.439888		104.7 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.223 	113 	T 4 02/15/34	(0.18)			4.91 	4.92 	8.3 	8.6 	Baa2	2023/3/31	BBB	2022/7/28	BBB	2023/9/6	5.6	2	2024/4/15	FIXED		2022/7/28	2032/7/15	2032/10/15	C	Sr Unsecured	2000	US	Auto Manufacturers	Consumer, Cyclical	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  1,250 	 優先無擔保
				 [NEW-LINE]	 US084664DB47	 波克夏海瑟威金融公司	BRK 3.85 03/15/52	USD	78.314		83.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	(0.035)	75 	T 4 3/4 11/15/53	(1.94)			4.93 	4.92 	27.5 	28.0 	Aa2	2022/3/7	AA	2022/3/8	A+u	2022/3/18	3.85	2	2024/9/15	FIXED		2022/3/7	2051/9/15	2052/3/15	C	Sr Unsecured	2000	US	Insurance	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  2,750 	 優先無擔保
				 [NEW-LINE]	 US60687YDB20	 瑞穗金融集團	MIZUHO 5.748 07/06/34	USD	101.5497971		106.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.309 						4.85 	4.92 	9.3 	10.3 	A1	2023/6/30	A-	2023/6/29		#VALUE!	5.748	2	2024/7/6	VARIABLE	190	2023/6/29	2033/7/6	2034/7/6	C	Sr Unsecured	200000	JP	Banks	Financial	N									JN	NPI	穩健型	保守型	Y	0	積極型	  1,100 	 優先無擔保
				 [NEW-LINE]	 US83368TBR86	 法國興業銀行股份有限公司	SOCGEN 6.446 01/10/29	USD	101.6555405		106.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.266 						4.57 	4.92 	3.8 	4.8 	Baa2	2023/1/4	BBB	2023/1/4	A-	2023/1/5	6.446	2	2024/7/10	VARIABLE	255	2023/1/3	2028/1/10	2029/1/10	C	Sr Non Preferred	200000	FR	Banks	Financial	N									FR	NPI	穩健型	保守型	Y	NPI	積極型	  1,250 	 主順位非優先受償無擔保
				 [NEW-LINE]	 US83368TBR86	 法國興業銀行股份有限公司	SOCGEN 6.446 01/10/29	USD	101.6555405		106.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.266 						4.57 	4.92 	3.8 	4.8 	Baa2	2023/1/4	BBB	2023/1/4	A-	2023/1/5	6.446	2	2024/7/10	VARIABLE	255	2023/1/3	2028/1/10	2029/1/10	C	Sr Non Preferred	200000	FR	Banks	Financial	N									FR	NPI	穩健型	保守型	Y	0	積極型	  1,250 	 主順位非優先受償無擔保
				 [NEW-LINE]	 US46647PCE43	 摩根大通銀行	JPM 3.328 04/22/52	USD	70.05		76.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.037 						4.95 	4.92 	27.1 	28.1 	A1	2022/9/29	A-	2021/4/16	AA-	2021/4/22	3.328	2	2024/4/22	VARIABLE	158	2021/4/15	2051/4/22	2052/4/22	C	Sr Unsecured	2000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	非常積極型	  3,500 	 優先無擔保
				 [NEW-LINE]	 US61747YEY77	 摩根士丹利	MS 6.342 10/18/33	USD	105.7047882		110.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.323 						4.79 	4.91 	8.6 	9.6 	A1	2022/10/18	A-	2022/10/14	A+	2022/11/4	6.342	2	2024/4/18	VARIABLE	256	2022/10/14	2032/10/18	2033/10/18	C	Sr Unsecured	1000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  3,000 	 優先無擔保
				 [NEW-LINE]	 US46647PDK93	 摩根大通銀行	JPM 5.717 09/14/33	USD	100.7707901		106.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.040 						4.84 	4.91 	8.5 	9.5 	A3	2022/9/12	BBB+	2022/9/9	A	2022/9/14	5.717	2	2024/9/14	VARIABLE	258	2022/9/7	2032/9/14	2033/9/14	C	Subordinated	2000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	0	積極型	  3,500 	 次順位
				 [NEW-LINE]	 US83368TAY47	 法國興業銀行股份有限公司	SOCGEN 3.653 07/08/35	USD	83.655		89.3 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.341 						5.71 	4.90 	6.3 	11.3 	Baa3	2020/7/2	BBB-	2020/7/3	BBB	2020/7/2	3.653	2	2024/7/8	VARIABLE	300	2020/6/30	2030/7/8	2035/7/8	C	Subordinated	200000	FR	Banks	Financial	N		Tier 2							FR	NPI	穩健型	保守型	Y	PI	積極型	  500 	 次順位
				 [NEW-LINE]	 US458140AT73	 英特爾	INTC 4.9 07/29/45	USD	94.41120911		99.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.128 	63 	T 4 1/2 02/15/44	(1.09)			4.90 	4.90 	20.9 	21.4 	A3	2024/2/8	A-	2024/2/9	A-	2023/2/2	4.9	2	2024/7/29	FIXED		2015/7/22	2045/1/29	2045/7/29	C	Sr Unsecured	2000	US	Semiconductors	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  772 	 優先無擔保
				 [NEW-LINE]	 US06738ECD58	 巴克萊集團	BACR 7.385 11/02/28	USD	105.1987076		110.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.199 						4.32 	4.90 	3.6 	4.6 	Baa1	2023/3/10	BBB+	2023/5/19	A	2022/11/3	7.385	2	2024/5/2	VARIABLE	330	2022/10/27	2027/11/2	2028/11/2	C	Sr Unsecured	200000	GB	Banks	Financial	N									EN	NPI	穩健型	保守型	Y	NPI	積極型	  1,500 	 優先無擔保
				 [NEW-LINE]	 US60687YCT47	 瑞穗金融集團	MIZUHO 5.754 05/27/34	USD	101.603		106.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.276 						4.83 	4.90 	9.2 	10.2 	A1	2023/2/22	A-	2023/2/21		#VALUE!	5.754	2	2024/5/27	VARIABLE	180	2023/2/21	2033/5/27	2034/5/27	C	Sr Unsecured	200000	JP	Banks	Financial	N									JN	NPI	穩健型	保守型	Y	NPI	積極型	  900 	 優先無擔保
				 [NEW-LINE]	 US458140BV11	 英特爾	INTC 2.8 08/12/41	USD	70.69000244		75.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.228 	70 	T 4 1/2 02/15/44	(1.03)			4.93 	4.88 	16.9 	17.4 	A3	2024/2/8	A-	2024/2/9	A-	2023/2/2	2.8	2	2024/8/12	FIXED		2021/8/10	2041/2/12	2041/8/12	C	Sr Unsecured	2000	US	Semiconductors	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  750 	 優先無擔保
				 [NEW-LINE]	 US61747YFE05	 摩根士丹利	MS 5 1/4 04/21/34	USD	97.9233017		102.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.190 						4.84 	4.88 	9.1 	10.1 	A1	2023/4/20	A-	2023/4/19	A+	2023/4/20	5.25	2	2024/4/21	VARIABLE	187	2023/4/19	2033/4/21	2034/4/21	C	Sr Unsecured	1000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  3,250 	 優先無擔保
				 [NEW-LINE]	 US60687YCM93	 瑞穗金融集團	MIZUHO 5.669 09/13/33	USD	100.8121338		106.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.324 						4.79 	4.87 	8.5 	9.5 	A1	2022/9/8	A-	2022/9/8		#VALUE!	5.669	2	2024/9/13	VARIABLE	240	2022/9/7	2032/9/13	2033/9/13	C	Sr Unsecured	200000	JP	Banks	Financial	N									JN	NPI	穩健型	保守型	Y	0	積極型	  750 	 優先無擔保
				 [NEW-LINE]	 US06051GLH01	 美國銀行	BAC 5.288 04/25/34	USD	98.16639709		103.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.161 						4.83 	4.86 	9.1 	10.1 	A1	2023/5/3	A-	2023/4/19	AA-	2023/4/25	5.288	2	2024/4/25	VARIABLE	191	2023/4/19	2033/4/25	2034/4/25	C	Sr Unsecured	2000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  5,000 	 優先無擔保
	AT&T Inc	NPI	 	 [NEW-LINE]	 US00206RCP55	 AT&T公司	T 4 1/2 05/15/35	USD	91.689		97.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.170 	99 	T 4 02/15/34	(0.64)			4.87 	4.86 	10.7 	11.2 	Baa2	2018/6/15	BBB	2018/6/15	BBB+	2021/5/19	4.5	2	2024/5/15	FIXED		2015/4/23	2034/11/15	2035/5/15	C	Sr Unsecured	2000	US	Telecommunications	Communications	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  2,500 	 優先無擔保
				 [NEW-LINE]	 US747525AK99	 高通公司	QCOM 4.8 05/20/45	USD	93.57391357		99.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.142 	57 	T 4 1/2 02/15/44	(0.94)			4.85 	4.85 	20.7 	21.2 	A2	2018/7/26	A	2021/12/9		#VALUE!	4.8	2	2024/5/20	FIXED		2015/5/13	2044/11/20	2045/5/20	C	Sr Unsecured	2000	US	Semiconductors	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  1,500 	 優先無擔保
				 [NEW-LINE]	 US404280DR76	 匯豐控股有限公司	HSBC 7.39 11/03/28	USD	105.4		110.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.179 						4.24 	4.84 	3.6 	4.6 	A3	2022/10/31	A-	2022/10/31	A+	2022/10/31	7.39	2	2024/5/3	VARIABLE	335	2022/10/26	2027/11/3	2028/11/3	C	Sr Unsecured	200000	GB	Banks	Financial	N									EN	NPI	穩健型	保守型	Y	NPI	積極型	  2,250 	 優先無擔保
				 [NEW-LINE]	 US46647PDR47	 摩根大通銀行	JPM 5.35 06/01/34	USD	98.74291229		104.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.153 						4.80 	4.84 	9.2 	10.2 	A1	2023/5/25	A-	2023/5/24	AA-	2023/6/1	5.35	2	2024/6/1	VARIABLE	184.5	2023/5/24	2033/6/1	2034/6/1	C	Sr Unsecured	2000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  4,500 	 優先無擔保
				 [NEW-LINE]	 US95000U3B74	 富國銀行	WFC 4.897 07/25/33	USD	95.39511108		100.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.156 						4.83 	4.84 	8.3 	9.3 	A1	2022/7/19	BBB+	2022/7/18	A+	2022/7/19	4.897	2	2024/7/25	VARIABLE	210	2022/7/18	2032/7/25	2033/7/25	C	Sr Unsecured	1000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	0	積極型	  4,250 	 優先無擔保
				 [NEW-LINE]	 US46647PBN50	 摩根大通銀行	JPM 3.109 04/22/51	USD	68.29613495		74.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.492 						4.88 	4.84 	26.1 	27.1 	A1	2022/9/29	A-	2020/4/15	AA-	2020/4/22	3.109	2	2024/4/22	VARIABLE	244	2020/4/15	2050/4/22	2051/4/22	C	Sr Unsecured	2000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	非常積極型	  2,250 	 優先無擔保
				 [NEW-LINE]	 US6174468Y83	 摩根士丹利	MS 2.802 01/25/52	USD	63.41812897		69.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.021 						4.88 	4.83 	26.9 	27.8 	A1	2021/1/27	A-	2022/5/17	A+	2022/11/4	2.802	2	2024/7/25	VARIABLE	143	2021/1/20	2051/1/25	2052/1/25	C	Sr Unsecured	1000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	非常積極型	  2,000 	 優先無擔保
	HP Inc	NPI	 	 [NEW-LINE]	 US40434LAN55	 惠普公司	HPQ 5 1/2 01/15/33	USD	99.91828918		104.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.038 	100 	T 4 02/15/34	(0.65)			4.80 	4.81 	8.6 	8.8 	Baa2	2022/6/6	BBB	2022/6/6	BBB+	2022/6/6	5.5	2	2024/7/15	FIXED		2022/6/6	2032/10/15	2033/1/15	C	Sr Unsecured	2000	US	Computers	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  1,100 	 優先無擔保
				 [NEW-LINE]	 US46647PAJ57	 摩根大通銀行	JPM 3.882 07/24/38	USD	84.78070831		90.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.237 						4.85 	4.80 	13.3 	14.3 	A1	2022/9/29	A-	2017/7/17	AA-	2018/6/21	3.882	2	2024/7/24	VARIABLE	162.161	2017/7/17	2037/7/24	2038/7/24	C	Sr Unsecured	2000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  2,500 	 優先無擔保
				 [NEW-LINE]	 US458140BL39	 英特爾	INTC 4.6 03/25/40	USD	92.58642578		97.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.176 	58 	T 4 1/2 02/15/44	(0.95)			4.80 	4.80 	15.5 	16.0 	A3	2024/2/8	A-	2024/2/9	A-	2023/2/2	4.6	2	2024/3/25	FIXED		2020/3/20	2039/9/25	2040/3/25	C	Sr Unsecured	2000	US	Semiconductors	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  750 	 優先無擔保
